,year,state,district,pvi,republican_incumbent,democratic_incumbent
116,2022,GA,2,-3,False,True
117,2022,GA,3,18,True,False
118,2022,GA,4,-27,False,True
119,2022,GA,5,-32,False,True
120,2022,GA,6,11,False,False
121,2022,GA,7,-10,False,True
122,2022,GA,8,16,True,False
123,2022,GA,9,22,True,False
124,2022,GA,10,15,False,False
125,2022,GA,11,11,True,False
126,2022,GA,12,8,True,False
127,2022,GA,13,-28,False,True
128,2022,GA,14,22,True,False
129,2022,HI,1,-14,False,True
130,2022,HI,2,-14,False,False
131,2022,ID,1,22,True,False
132,2022,ID,2,15,True,False
133,2022,IL,1,-20,False,False
134,2022,IL,2,-19,False,True
135,2022,IL,3,-20,False,False
136,2022,IL,4,-22,False,True
137,2022,IL,5,-18,False,True
138,2022,IL,6,-3,False,True
139,2022,IL,7,-36,False,True
140,2022,IL,8,-6,False,True
141,2022,IL,9,-19,False,True
142,2022,IL,10,-11,False,True
143,2022,IL,11,-5,False,True
144,2022,IL,12,24,True,False
145,2022,IL,13,-3,False,False
146,2022,IL,14,-4,False,True
147,2022,IL,15,22,True,False
148,2022,IL,16,13,True,False
149,2022,IL,17,-2,False,False
150,2022,IN,1,-3,False,True
151,2022,IN,2,14,False,False
152,2022,IN,3,18,True,False
153,2022,IN,4,18,True,False
154,2022,IN,5,11,True,False
155,2022,IN,6,19,True,False
156,2022,IN,7,-19,False,True
157,2022,IN,8,19,True,False
158,2022,IN,9,16,False,False
159,2022,IA,1,3,True,False
160,2022,IA,2,4,True,False
161,2022,IA,3,3,False,True
162,2022,IA,4,16,True,False
163,2022,KS,1,18,True,False
164,2022,KS,2,11,True,False
165,2022,KS,3,1,False,True
166,2022,KS,4,14,True,False
167,2022,KY,1,24,True,False
168,2022,KY,2,21,True,False
169,2022,KY,3,-9,False,False
170,2022,KY,4,19,True,False
171,2022,KY,5,32,True,False
172,2022,KY,6,9,True,False
173,2022,LA,1,23,True,False
174,2022,LA,2,-25,False,True
175,2022,LA,3,21,True,False
176,2022,LA,4,14,True,False
177,2022,LA,5,17,True,False
178,2022,LA,6,19,True,False
179,2022,ME,1,-9,False,True
180,2022,ME,2,6,False,True
181,2022,MD,1,11,True,False
182,2022,MD,2,-7,False,True
183,2022,MD,3,-10,False,True
184,2022,MD,4,-40,False,False
185,2022,MD,5,-15,False,True
186,2022,MD,6,-2,False,True
187,2022,MD,7,-30,False,True
188,2022,MD,8,-29,False,True
189,2022,MA,1,-9,False,True
190,2022,MA,2,-13,False,True
191,2022,MA,3,-11,False,True
192,2022,MA,4,-12,False,True
193,2022,MA,5,-23,False,True
194,2022,MA,6,-11,False,True
195,2022,MA,7,-35,False,True
196,2022,MA,8,-15,False,True
197,2022,MA,9,-6,False,True
198,2022,MI,1,13,True,False
199,2022,MI,2,16,True,False
200,2022,MI,3,-1,False,False
201,2022,MI,4,5,True,False
202,2022,MI,5,15,True,False
203,2022,MI,6,-11,False,True
204,2022,MI,7,2,False,True
205,2022,MI,8,1,False,True
206,2022,MI,9,18,True,False
207,2022,MI,10,3,False,False
208,2022,MI,11,-7,False,True
209,2022,MI,12,-23,False,True
210,2022,MI,13,-23,False,False
211,2022,MN,1,7,True,False
212,2022,MN,2,-1,False,True
213,2022,MN,3,-8,False,True
214,2022,MN,4,-17,False,True
215,2022,MN,5,-30,False,True
216,2022,MN,6,12,True,False
217,2022,MN,7,19,True,False
218,2022,MN,8,8,True,False
219,2022,MS,1,18,True,False
220,2022,MS,2,-11,False,True
221,2022,MS,3,15,True,False
222,2022,MS,4,22,False,False
223,2022,MO,1,-27,False,True
224,2022,MO,2,7,True,False
225,2022,MO,3,16,True,False
226,2022,MO,4,23,False,False
227,2022,MO,5,-11,False,True
228,2022,MO,6,21,True,False
229,2022,MO,7,24,False,False
230,2022,MO,8,28,True,False
231,2022,MT,1,6,False,False
232,2022,MT,2,16,True,False
233,2022,NE,1,9,True,False
234,2022,NE,2,0,True,False
235,2022,NE,3,29,True,False
236,2022,NV,1,-3,False,True
237,2022,NV,2,8,True,False
238,2022,NV,3,-1,False,True
239,2022,NV,4,-3,False,True
240,2022,NH,1,0,False,True
241,2022,NH,2,-2,False,True
242,2022,NJ,1,-10,False,True
243,2022,NJ,2,5,True,False
244,2022,NJ,3,-5,False,True
245,2022,NJ,4,14,True,False
246,2022,NJ,5,-4,False,True
247,2022,NJ,6,-8,False,True
248,2022,NJ,7,1,False,True
249,2022,NJ,8,-22,False,False
250,2022,NJ,9,-8,False,True
251,2022,NJ,10,-30,False,True
252,2022,NJ,11,-6,False,True
253,2022,NJ,12,-12,False,True
254,2022,NM,1,-5,False,True
255,2022,NM,2,-1,True,False
256,2022,NM,3,-4,False,True
257,2022,NY,1,3,False,False
258,2022,NY,2,3,True,False
259,2022,NY,3,-2,False,False
260,2022,NY,4,-5,False,False
261,2022,NY,5,-30,False,True
262,2022,NY,6,-15,False,True
263,2022,NY,7,-31,False,True
264,2022,NY,8,-26,False,True
265,2022,NY,9,-25,False,True
266,2022,NY,10,-35,False,False
267,2022,NY,11,6,True,False
268,2022,NY,12,-34,False,True
269,2022,NY,13,-38,False,True
270,2022,NY,14,-28,False,True
271,2022,NY,15,-35,False,True
272,2022,NY,16,-20,False,True
273,2022,NY,17,-3,False,True
274,2022,NY,18,-1,False,True
275,2022,NY,19,0,False,False
276,2022,NY,20,-7,False,True
277,2022,NY,21,9,True,False
278,2022,NY,22,-1,False,False
279,2022,NY,23,12,False,False
280,2022,NY,24,11,True,False
281,2022,NY,25,-7,False,True
282,2022,NY,26,-9,False,True
283,2022,NC,1,-2,False,False
284,2022,NC,2,-12,False,True
285,2022,NC,3,15,True,False
286,2022,NC,4,-16,False,False
287,2022,NC,5,13,True,False
288,2022,NC,6,-4,False,True
289,2022,NC,7,8,True,False
290,2022,NC,8,20,True,False
291,2022,NC,9,6,True,False
292,2022,NC,10,22,True,False
293,2022,NC,11,8,False,False
294,2022,NC,12,-13,False,True
295,2022,NC,13,2,False,False
296,2022,NC,14,-6,False,False
297,2022,ND,0,20,True,False
298,2022,OH,1,-2,True,False
299,2022,OH,2,25,True,False
300,2022,OH,3,-20,False,True
301,2022,OH,4,20,True,False
302,2022,OH,5,15,True,False
303,2022,OH,6,16,True,False
304,2022,OH,7,7,False,False
305,2022,OH,8,14,True,False
306,2022,OH,9,3,False,True
307,2022,OH,10,4,True,False
308,2022,OH,11,-28,False,True
309,2022,OH,12,18,True,False
310,2022,OH,13,1,False,False
311,2022,OH,14,9,True,False
312,2022,OH,15,6,True,False
313,2022,OK,1,14,True,False
314,2022,OK,2,29,False,False
315,2022,OK,3,24,True,False
316,2022,OK,4,19,True,False
317,2022,OK,5,12,True,False
318,2022,OR,1,-18,False,True
319,2022,OR,2,15,True,False
320,2022,OR,3,-22,False,True
321,2022,OR,4,-4,False,False
322,2022,OR,5,-2,False,False
323,2022,OR,6,-4,False,False
324,2022,PA,1,0,True,False
325,2022,PA,2,-20,False,True
326,2022,PA,3,-39,False,True
327,2022,PA,4,-7,False,True
328,2022,PA,5,-14,False,True
329,2022,PA,6,-5,False,True
330,2022,PA,7,2,False,True
331,2022,PA,8,4,False,True
332,2022,PA,9,21,True,False
333,2022,PA,10,5,True,False
334,2022,PA,11,13,True,False
335,2022,PA,12,-8,False,False
336,2022,PA,13,25,True,False
337,2022,PA,14,18,True,False
338,2022,PA,15,21,True,False
339,2022,PA,16,13,True,False
340,2022,PA,17,0,False,False
341,2022,RI,1,-12,False,True
342,2022,RI,2,-4,False,False
343,2022,SC,1,7,True,False
344,2022,SC,2,8,True,False
345,2022,SC,3,21,True,False
346,2022,SC,4,12,True,False
347,2022,SC,5,12,True,False
348,2022,SC,6,-14,False,True
349,2022,SC,7,11,False,False
350,2022,SD,0,16,True,False
351,2022,TN,1,30,True,False
352,2022,TN,2,18,True,False
353,2022,TN,3,19,True,False
354,2022,TN,4,22,True,False
355,2022,TN,5,9,False,False
356,2022,TN,6,17,True,False
357,2022,TN,7,10,True,False
358,2022,TN,8,21,True,False
359,2022,TN,9,-22,False,True
360,2022,TX,1,26,False,False
361,2022,TX,2,15,True,False
362,2022,TX,3,11,False,False
363,2022,TX,4,16,True,False
364,2022,TX,5,14,True,False
365,2022,TX,6,15,True,False
366,2022,TX,7,-13,False,True
367,2022,TX,8,16,False,False
368,2022,TX,9,-26,False,True
369,2022,TX,10,13,True,False
370,2022,TX,11,23,True,False
371,2022,TX,12,12,True,False
372,2022,TX,13,26,True,False
373,2022,TX,14,17,True,False
374,2022,TX,15,1,False,False
375,2022,TX,16,-17,False,True
376,2022,TX,17,14,True,False
377,2022,TX,18,-23,False,True
378,2022,TX,19,26,True,False
379,2022,TX,20,-15,False,True
380,2022,TX,21,13,True,False
381,2022,TX,22,11,True,False
382,2022,TX,23,5,True,False
383,2022,TX,24,10,True,False
384,2022,TX,25,19,True,False
385,2022,TX,26,13,True,False
386,2022,TX,27,13,True,False
387,2022,TX,28,-3,False,True
388,2022,TX,29,-18,False,True
389,2022,TX,30,-27,False,False
390,2022,TX,31,14,True,False
391,2022,TX,32,-14,False,True
392,2022,TX,33,-24,False,True
393,2022,TX,34,-9,True,True
394,2022,TX,35,-21,False,False
395,2022,TX,36,18,True,False
396,2022,TX,37,-24,False,True
397,2022,TX,38,12,False,False
398,2022,UT,1,12,True,False
399,2022,UT,2,11,True,False
400,2022,UT,3,13,True,False
401,2022,UT,4,16,True,False
402,2022,VT,0,-16,False,False
403,2022,VA,1,6,True,False
404,2022,VA,2,2,False,True
405,2022,VA,3,-17,False,True
406,2022,VA,4,-16,False,True
407,2022,VA,5,7,True,False
408,2022,VA,6,14,True,False
409,2022,VA,7,-1,False,True
410,2022,VA,8,-26,False,True
411,2022,VA,9,23,True,False
412,2022,VA,10,-6,False,True
413,2022,VA,11,-18,False,True
414,2022,WA,1,-13,False,True
415,2022,WA,2,-9,False,True
416,2022,WA,3,5,False,False
417,2022,WA,4,11,True,False
418,2022,WA,5,8,True,False
419,2022,WA,6,-6,False,True
420,2022,WA,7,-36,False,True
421,2022,WA,8,-1,False,True
422,2022,WA,9,-21,False,True
423,2022,WA,10,-7,False,True
424,2022,WV,1,23,True,False
425,2022,WV,2,22,True,False
426,2022,WI,1,3,True,False
427,2022,WI,2,-19,False,True
428,2022,WI,3,4,False,False
429,2022,WI,4,-25,False,True
430,2022,WI,5,14,True,False
431,2022,WI,6,10,True,False
432,2022,WI,7,12,True,False
433,2022,WI,8,10,True,False
434,2022,WY,0,25,False,False
