,year,state,district,pvi,republican_incumbent,democratic_incumbent
0,2022,AL,1,16,True,False
1,2022,AL,2,17,True,False
2,2022,AL,3,19,True,False
3,2022,AL,4,33,True,False
4,2022,AL,5,17,False,False
5,2022,AL,6,18,True,False
6,2022,AL,7,-14,False,True
7,2022,AK,0,8,False,True
8,2022,AZ,1,2,True,False
9,2022,AZ,2,6,False,True
10,2022,AZ,3,-24,False,True
11,2022,AZ,4,-2,False,True
12,2022,AZ,5,11,True,False
13,2022,AZ,6,3,False,False
14,2022,AZ,7,-15,False,True
15,2022,AZ,8,10,True,False
16,2022,AZ,9,16,True,False
17,2022,AR,1,22,True,False
18,2022,AR,2,9,True,False
19,2022,AR,3,15,True,False
20,2022,AR,4,20,True,False
21,2022,CA,1,12,True,False
22,2022,CA,2,-23,False,True
23,2022,CA,3,4,False,False
24,2022,CA,4,-17,False,True
25,2022,CA,5,9,True,False
26,2022,CA,6,-7,False,True
27,2022,CA,7,-17,False,True
28,2022,CA,8,-26,False,True
29,2022,CA,9,-5,False,True
30,2022,CA,10,-18,False,True
31,2022,CA,11,-37,False,True
32,2022,CA,12,-40,False,True
33,2022,CA,13,-4,False,False
34,2022,CA,14,-22,False,True
35,2022,CA,15,-28,False,False
36,2022,CA,16,-26,False,True
37,2022,CA,17,-23,False,True
38,2022,CA,18,-21,False,True
39,2022,CA,19,-18,False,True
40,2022,CA,20,16,True,False
41,2022,CA,21,-9,False,True
42,2022,CA,22,-5,True,False
43,2022,CA,23,8,True,False
44,2022,CA,24,-13,False,True
45,2022,CA,25,-6,False,True
46,2022,CA,26,-8,False,True
47,2022,CA,27,-4,True,False
48,2022,CA,28,-16,False,True
49,2022,CA,29,-26,False,True
50,2022,CA,30,-23,False,True
51,2022,CA,31,-15,False,True
52,2022,CA,32,-20,False,True
53,2022,CA,33,-12,False,True
54,2022,CA,34,-32,False,True
55,2022,CA,35,-13,False,True
56,2022,CA,36,-21,False,True
57,2022,CA,37,-37,False,False
58,2022,CA,38,-14,False,True
59,2022,CA,39,-12,False,True
60,2022,CA,40,2,True,False
61,2022,CA,41,3,True,False
62,2022,CA,42,-22,False,False
63,2022,CA,43,-32,False,True
64,2022,CA,44,-24,False,True
65,2022,CA,45,-2,True,False
66,2022,CA,46,-15,False,True
67,2022,CA,47,-3,False,True
68,2022,CA,48,9,True,False
69,2022,CA,49,-3,False,True
70,2022,CA,50,-14,False,True
71,2022,CA,51,-12,False,True
72,2022,CA,52,-18,False,True
73,2022,CO,1,-29,False,True
74,2022,CO,2,-17,False,True
75,2022,CO,3,7,True,False
76,2022,CO,4,13,True,False
77,2022,CO,5,9,True,False
78,2022,CO,6,-9,False,True
79,2022,CO,7,-4,False,False
80,2022,CO,8,0,False,False
81,2022,CT,1,-12,False,True
82,2022,CT,2,-3,False,True
83,2022,CT,3,-7,False,True
84,2022,CT,4,-13,False,True
85,2022,CT,5,-3,False,True
86,2022,DE,0,-7,False,True
87,2022,FL,1,19,True,False
88,2022,FL,2,8,True,True
89,2022,FL,3,9,True,False
90,2022,FL,4,6,False,False
91,2022,FL,5,11,True,False
92,2022,FL,6,14,True,False
93,2022,FL,7,5,False,False
94,2022,FL,8,11,True,False
95,2022,FL,9,-8,False,True
96,2022,FL,10,-14,False,False
97,2022,FL,11,8,True,False
98,2022,FL,12,17,True,False
99,2022,FL,13,6,False,False
100,2022,FL,14,-8,False,True
101,2022,FL,15,4,True,False
102,2022,FL,16,7,False,False
103,2022,FL,17,10,True,False
104,2022,FL,18,13,True,False
105,2022,FL,19,13,True,False
106,2022,FL,20,-25,False,True
107,2022,FL,21,7,True,False
108,2022,FL,22,-7,False,True
109,2022,FL,23,-5,False,False
110,2022,FL,24,-25,False,True
111,2022,FL,25,-9,False,True
112,2022,FL,26,8,True,False
113,2022,FL,27,0,True,False
114,2022,FL,28,2,True,False
115,2022,GA,1,9,True,False
